TrnsnID,Data,CusmrID,ProdtID,ProdtName,Qutity,Prize,TtlSales,PaymentType,CusterAge
7402,03/17/2026,991,1045,Boo E,9,167.72,2935.06,nan,87
5835,26-01-2035,741,1040,Book J,18,193.27,4386.52,debit card,69
2123,05/26/2035,933,1062,Bok N,5,126.39,1948.46,Cash,15
8789,28-02-2036,641,1060,Book I,6,66.98,1757.26,Cash,22
305,19-04-2023,123,1058,Book B,15,33.63,2578.19,Cash,-1
2532,19-08-2032,185,1090,Bok N,12,102.69,488.23,nan,54
2996,04/03/2031,571,1086,Book D,15,176.27,4822.26,Cash,-4
7660,27-02-2031,172,1012,Book P,12,44.51,4966.85,Cash,82
8225,26-05-2026,342,1098,Book P,11,72.57,4920.76,nan,51
4449,02/05/2030,614,1086,Book M,5,15.67,714.58,Debit,95
3621,05-08-2036,755,1051,Boo E,19,149.75,100.7,Cash,86
9211,07/18/2035,361,1020,Book O,14,140.04,3155.24,Credit,35
5023,04/10/2032,626,1092,Book I,1,24.43,3426.99,Debit,25
7924,04/07/2025,850,1075,Book T,10,89.13,84.65,Credit Card,31
4476,12-12-2029,559,1094,Book A,13,96.85,3639.27,debit card,74
6709,08/20/2029,583,1044,Book T,8,108.44,2664.9,Cash,9
108,10/21/2030,643,1042,nan,6,181.82,4077.67,debit card,87
3320,08/16/2032,180,1059,Book G,17,15.92,861.47,Credit Card,97
5658,30-08-2026,462,1027,Book J,11,54.96,1745.57,Debit,56
8791,11/13/2031,523,1010,Book G,17,187.84,2499.92,nan,46
800,02-12-2023,480,1060,Book I,9,77.26,2032.76,nan,53
6283,04/13/2026,632,1049,Book P,12,35.86,2408.26,Credit Card,25
2517,13-09-2032,987,1022,Book B,18,106.15,2876.01,Credit Card,71
501,02/05/2027,113,1069,Book R,12,31.62,2042.28,debit card,40
8794,07-12-2033,980,1018,Book M,2,102.26,4959.74,Credit,77
1922,29-10-2028,546,1081,Book J,14,124.94,1642.17,Cash,43
4302,12-10-2029,566,1022,Bok N,-4,111.77,3955.85,Credit Card,57
9113,08-12-2030,653,1048,nan,1,110.52,4532.75,Cash,42
9728,08/21/2036,307,1070,Book G,8,131.91,3184.52,debit card,65
6272,07-03-2033,59,1095,Book G,7,28.04,1743.71,nan,50
4443,01/09/2026,294,1088,Book P,6,137.01,2783.85,nan,-8
6729,03/16/2035,851,1060,Book L,1,104.35,408.12,nan,14
4534,10/23/2030,963,1052,Book L,3,152.39,761.66,Cash,-1
34,20-07-2036,730,1062,Book A,15,153.75,3158.59,nan,59
9850,08/15/2024,538,1002,Book B,3,95.99,4946.8,debit card,39
4429,03/28/2036,295,1057,Boo E,-4,137.59,3152.31,paypal,93
569,19-11-2028,815,1030,Book O,16,147.81,2153.51,Debit,20
1510,05/25/2027,241,1041,Book L,8,143.33,460.63,nan,39
7788,02/03/2027,382,1059,Book R,2,101.96,2475.43,Cash,6
304,23-04-2032,849,1054,Book M,13,171.64,1681.68,nan,76
7549,03-02-2024,622,1029,nan,9,92.77,879.96,Cash,12
5530,03/16/2034,72,1069,Book K,15,99.88,1516.53,Debit,58
1122,30-01-2034,217,1087,Book F,12,16.13,1459.39,Cash,24
5205,18-02-2028,794,1029,Book G,18,128.35,4726.16,nan,80
7289,03-01-2031,243,1009,Book L,18,36.28,2377.42,Cash,63
5909,03-10-2025,386,1034,Book A,3,61.26,3290.5,Debit,66
9842,07/29/2024,10,1065,Bookk H,13,180.78,366.43,Credit,31
2376,17-12-2023,243,1075,Book R,-2,191.13,1900.42,Credit,-10
2448,03/07/2023,372,1037,Book D,13,37.24,3164.13,Credit,-6
5454,10/14/2034,887,1053,Book O,10,191.2,1408.83,paypal,27
316,02/14/2028,566,1012,Bookk H,-1,185.04,4526.58,Credit,99
8616,06/01/2031,897,1004,Book M,-3,151.38,62.12,debit card,23
3527,02-02-2026,926,1051,Book B,-3,93.77,2805.37,debit card,91
5548,01-05-2030,310,1018,Book D,-5,73.3,2212.94,Cash,95
8053,05/29/2029,691,1077,Book S,2,55.61,4890.9,nan,68
97,06/21/2034,268,1068,Book J,2,62.8,4010.45,nan,98
7530,29-02-2028,259,1019,Book P,4,73.59,2401.74,Credit,96
1057,04-10-2034,138,1086,Book T,5,94.21,4352.25,Credit,61
9677,30-07-2033,437,1042,Book R,-3,131.96,2388.66,Credit Card,72
8569,27-05-2027,423,1097,Book L,12,112.45,485.15,Credit Card,8
3820,20-03-2026,512,1076,Bookk H,3,163.37,4514.64,debit card,64
8536,02/28/2026,695,1005,Book O,10,111.06,222.06,debit card,19
4112,04-08-2032,117,1031,Book L,1,95.08,1661.98,Credit Card,29
6740,28-04-2029,871,1088,Book J,9,27.93,3422.45,Debit,4
1497,11/09/2025,279,1084,Book L,-3,63.62,1602.12,Cash,-2
577,03/21/2036,167,1024,Book K,14,92.09,3547.91,Cash,28
2271,12/08/2028,304,1024,Book O,11,13.9,3021.25,Debit,25
1442,08/14/2026,841,1087,Book T,7,166.55,2082.98,Credit,-6
5015,13-09-2033,483,1018,nan,0,102.45,4271.84,Debit,80
5917,11-12-2029,747,1080,Book P,-5,85.33,3250.23,Credit,75
736,06-04-2029,741,1095,Book D,13,181.79,2136.45,nan,58
1072,04-05-2033,86,1003,Book G,11,54.82,4628.28,nan,67
2803,08/15/2026,579,1098,Book K,-4,77.49,4706.52,Debit,0
8161,18-06-2035,297,1042,Book D,14,45.32,2395.83,Credit,25
5921,19-10-2027,839,1059,Book S,-4,56.39,2293.04,Credit,-8
5567,11/21/2025,828,1052,nan,-2,29.78,1679.16,debit card,19
9670,10-11-2026,904,1099,Book S,10,192.94,2770.67,debit card,65
7471,12/15/2029,676,1041,Boo E,17,196.41,4036.59,Debit,-6
5268,05-03-2035,420,1023,Book L,14,196.52,821.66,Cash,92
6655,29-08-2031,287,1052,Book F,9,80.63,4457.02,Cash,12
9812,06/19/2024,65,1043,Bok N,3,89.08,2198.91,Debit,16
5401,08/05/2030,953,1095,Book T,14,118.37,4176.75,paypal,7
8674,01/06/2024,643,1033,Bok N,12,160.25,4244.64,debit card,74
4794,04/06/2023,13,1029,Book T,-5,52.4,2382.93,Cash,57
8696,28-03-2028,986,1036,Book K,6,143.44,3233.76,Credit,69
170,10-02-2029,698,1096,Boo E,8,117.86,3136.13,debit card,76
4575,11/01/2034,770,1016,Book D,2,120.13,3481.24,debit card,75
9497,03-06-2034,777,1080,Book O,0,8.3,4469.41,nan,43
533,17-05-2027,218,1043,Book I,12,162.03,2454.3,debit card,71
8292,10/09/2025,372,1038,nan,-2,177.28,4600.37,debit card,24
